Team,Overall Rank,League Standings,Offense,Unblocked Shots For,xGoals For,Goals For,Defense,Unblocked Shots Against,xGoals Against,Goals Against,Goaltending
Anaheim Ducks,31,30,30,30,31,30,30,29,31,30,25
Arizona Coyotes,27,28,25,25,22,19,25,25,27,26,21
Boston Bruins,13,5,18,24,17,12,16,20,12,6,4
Buffalo Sabres,22,23,21,16,24,21,20,16,23,14,14
Calgary Flames,18,23,13,10,10,16,17,15,19,21,23
Carolina Hurricanes,2,5,2,1,6,8,1,1,1,4,11
Chicago Blackhawks,30,31,31,31,30,31,24,24,25,29,26
Colorado Avalanche,5,3,2,5,9,1,11,11,13,13,11
Columbus Blue Jackets,28,29,23,17,21,25,30,31,29,31,24
Dallas Stars,5,2,6,11,8,2,5,8,1,11,22
Detroit Red Wings,26,19,22,26,27,9,28,30,26,25,20
Edmonton Oilers,3,8,1,3,1,3,3,2,6,9,17
Florida Panthers,1,7,5,2,2,13,2,3,3,1,2
Los Angeles Kings,4,14,12,6,12,17,6,5,7,3,2
Minnesota Wild,20,17,20,18,17,20,8,13,4,20,26
Montreal Canadiens,29,27,29,28,29,28,29,27,30,24,13
Nashville Predators,10,12,8,12,7,11,12,10,16,16,14
New Jersey Devils,19,21,7,14,5,10,17,12,22,27,26
New York Islanders,24,20,24,21,22,22,25,28,24,23,18
New York Rangers,8,1,11,13,13,7,19,17,18,7,4
Ottawa Senators,17,26,10,9,10,13,10,9,11,28,32
Philadelphia Flyers,14,18,16,7,17,24,3,4,4,18,30
Pittsburgh Penguins,11,21,8,4,3,23,20,22,17,12,8
San Jose Sharks,32,32,32,32,32,31,32,32,32,32,31
Seattle Kraken,21,23,27,23,28,29,13,18,9,8,8
St Louis Blues,23,16,26,27,24,25,27,26,28,14,4
Tampa Bay Lightning,16,11,14,20,15,5,9,6,13,22,29
Toronto Maple Leafs,12,9,4,8,4,4,20,19,20,17,19
Vancouver Canucks,7,3,15,22,14,6,7,7,7,5,7
Vegas Golden Knights,15,12,19,19,20,15,15,21,10,10,10
Washington Capitals,25,15,28,29,26,27,23,23,21,18,16
Winnipeg Jets,9,10,17,15,16,18,14,14,15,2,1
